"","GEOID","medianhhincome_2019","aian_2019","asian_2019","hhlivingalone_2019","black_2019","blackmedianincome_2019","blackpoverty_2019","familyhouseholds_2019","fouryeardegree_2019","graddegree_2019","hsgrad_2019","latino_2019","latinopoverty_2019","lessthanhs_2019","medianage_2019","grossrent_2019","medianyearbuilt_2019","monthlyhousingcost_2019","multipleraces_2019","nonfamilyhouseholds_2019","numberofhousingunits_2019","over25population_2019","poverty_2019","totalpopulation_2019","vacantunits_2019","white_2019","white25andolder_2019","whitemedianincome_2019","whitepoverty_2019","renters_2019","occupiedunits_2019","vacancyrate_2019","pctwhite_2019","pctblack_2019","pctlatino_2019","pctwhitepoverty_2019","pctblackpoverty_2019","pctlatinopoverty_2019","pctpoverty_2019","pctlessthanhs_2019","pcthsgrad_2019","pctfouryeardegree_2019","pctgraddegree_2019","pctrenters_2019"
"60",39049004700,25679,0,0,416,1752,24821,686,1111,116,73,1590,1113,1113,760,29.9,858,1941,778,0,578,2121,3337,2096,5715,432,3529,1950,28640,1242,1071,5715,20.3677510608204,61.7497812773403,30.6561679790026,19.4750656167979,35.1941059790309,39.1552511415525,100,36.6754155730534,22.7749475576865,47.6475876535811,3.47617620617321,2.18759364698831,18.740157480315
"61",39049004810,45807,0,165,445,243,22841,86,707,274,138,772,172,172,440,45,912,1945,859,0,502,1274,2188,435,2906,65,2294,1805,49904,317,382,2906,5.10204081632653,78.9401238816242,8.36200963523744,5.91878871300757,13.8186573670445,35.3909465020576,100,14.9690295939436,20.109689213894,35.2833638025594,12.5228519195612,6.30712979890311,13.1452167928424
"62",39049004820,36750,0,64,252,600,33393,237,674,124,47,710,304,304,381,33,819,1946,755,0,316,1145,1649,1015,2728,155,1747,1140,36513,561,599,2728,13.5371179039301,64.0395894428152,21.9941348973607,11.1436950146628,32.1121923297081,39.5,100,37.2067448680352,23.10491206792,43.0563978168587,7.51970891449363,2.85021224984839,21.9574780058651
"63",39049004900,29520,0,233,815,896,29235,545,1011,92,53,1503,671,671,801,37.5,875,1947,817,0,957,2544,3421,2144,5128,576,3158,2345,39514,950,1182,5079,22.6415094339623,61.5834633385335,17.4726989079563,13.085023400936,30.0823305889804,60.8258928571429,100,41.8096723868955,23.4142063724057,43.9345220695703,2.68927214264835,1.54925460391698,23.2722976963969
"64",39049005000,27130,0,15,625,1106,17527,757,826,252,85,1066,190,184,946,31.5,748,1943,743,8,948,2396,3090,2055,5022,622,3379,2390,28591,1134,1363,4826,25.9599332220367,67.2839506172839,22.0230983671844,3.78335324571884,33.560224918615,68.4448462929476,96.8421052631579,40.9199522102748,30.6148867313916,34.4983818770227,8.15533980582524,2.75080906148867,28.2428512225446
"65",39049005100,12565,0,0,319,1302,9821,950,442,26,0,524,52,52,379,23.5,303,1975,342,0,340,865,1101,1569,2306,83,837,597,13889,466,595,2043,9.59537572254335,36.2966175195143,56.4614050303556,2.25498699045967,55.6750298685782,72.9646697388633,100,68.0398959236774,34.4232515894641,47.5930971843778,2.36148955495005,0,29.1238374938815
"66",39049005200,88816,0,68,934,110,NA,4,559,1282,799,147,46,46,59,31,1295,0,1485,0,1313,2026,2561,158,3081,154,2730,2355,89518,133,1165,3068,7.60118460019743,88.6075949367088,3.5702693930542,1.4930217461863,4.87179487179487,3.63636363636364,100,5.12820512820513,2.3037875829754,5.73994533385396,50.0585708707536,31.1987504880906,37.9726205997392
"67",39049005300,38342,23,0,388,1552,34081,569,567,449,170,516,131,131,314,32.5,816,0,813,42,592,1555,2202,1037,3043,396,1157,1012,53125,272,812,2767,25.4662379421222,38.0216891225764,51.0023003614854,4.30496220834703,23.5090751944685,36.6623711340206,100,34.0782122905028,14.2597638510445,23.433242506812,20.3905540417802,7.72025431425976,29.3458619443441
"68",39049005410,24604,0,5,198,1169,23506,597,341,67,12,253,80,80,148,25.4,732,1944,711,0,238,825,791,771,1546,246,236,181,18828,105,398,1530,29.8181818181818,15.2652005174644,75.614489003881,5.17464424320828,44.4915254237288,51.0692899914457,100,49.8706338939198,18.7104930467762,31.9848293299621,8.47029077117573,1.51706700379267,26.0130718954248
"69",39049005420,28333,0,0,350,1559,29167,400,358,101,65,533,14,14,205,31.4,745,1945,726,0,410,1211,1319,531,1992,443,259,230,NA,57,484,1992,36.5813377374071,13.0020080321285,78.2630522088353,0.70281124497992,22.007722007722,25.6574727389352,100,26.6566265060241,15.5420773313116,40.4094010614102,7.65731614859742,4.92797573919636,24.2971887550201
