GEOID,over25population_2000,lessthanhs_2000,hsgrad_2000,fouryeardegree_2000,graddegree_2000,pctgraddegree_2000
39049008163,1759.250805,343.6449275,638.139694,199.4440419,48.33776167,2.747633341
39049008164,2571.749195,502.3550725,932.860306,291.5559581,70.66223833,2.747633341
39049008210,1517,457,668,58,14,0.922874094
39049008230,2096,902,651,115,51,2.433206107
39049008241,1459,428,459,181,67,4.592186429
39049008242,4007,479,947,916,385,9.608185675
39049008311,2528,692,1185,118,55,2.175632911
39049008312,2818,850,1324,33,59,2.093683463
39049008321,1726,420,640,148,52,3.012746234
39049008322,3123,838,1370,213,67,2.145373039
39049008330,1268,479,524,67,27,2.129337539
39049008340,3667,1233,1384,232,55,1.499863649
39049008350,2979,693,1141,296,52,1.745552199
39049008360,3814,858,1639,340,98,2.56948086
39049008370,3558.68398,506.3858484,1436.258087,302.6329627,133.8376799,3.760875667
39049008380,2358,461,968,208,51,2.162849873
39049008400,2287.618121,145.038967,295.6766256,916.9946148,499.0519671,21.81535294
39049008500,2928.435191,288.5157824,645.3136333,812.6527871,359.6830087,12.28243021
39049008710,1878,439,820,87,21,1.118210863
39049008720,2573,1007,943,72,25,0.971628449
39049008730,1327,543,429,39,7,0.527505652
39049008811,1297.003208,704.5160486,425.9586734,13.39722013,0.088572104,0.006828981
39049008812,2086,555,817,100,46,2.205177373
39049008813,1688.476468,517.9192003,619.7067888,90.81049563,10.97709288,0.650118203
39049008821,1910,767,731,47,26,1.361256545
39049008822,2344,674,879,79,31,1.322525597
39049008825,4083.520324,1069.564751,1986.334538,154.7922842,48.93433502,1.198337002
39049008900,2602.006708,114.0024726,308.0025154,821.0001591,666.0002448,25.59563904
39049009000,2240,33,239,809,840,37.5
39049009100,3175,94,271,1215,1054,33.19685039
39049009210,2575,427,830,320,190,7.378640777
39049009220,1714.76901,347.0803443,744.9469154,65.16929699,41.07173601,2.395176013
39049009230,3020.928742,678.6044955,1226.029173,284.3213773,121.1587757,4.010646594
39049009240,1375,274,664,50,42,3.054545455
39049009250,1312.578947,325.6700405,560.2712551,54.44331984,56.42307692,4.298642535
39049009311,1888.295302,277.0618273,713.3256495,224.3102887,65.23770877,3.454846745
39049009312,2023,272,809,201,77,3.806228374
39049009321,1510.315406,311.8146541,530.8832237,165.5928277,81.85602674,5.419796846
39049009322,2357.047909,403.9889851,810.1229248,278.5080943,117.5071444,4.985352396
39049009323,2228,471,909,119,53,2.378815081
39049009325,2555,455,964,329,68,2.661448141
39049009326,996,216,366,81,12,1.204819277
39049009331,835,131,405,64,0,0
39049009332,2077,247,510,357,180,8.666345691
39049009333,1509,278,506,208,61,4.042412194
39049009334,1998,344,629,175,56,2.802802803
39049009336,1558,79,364,386,173,11.10397946
39049009337,2270,404,940,188,46,2.026431718
39049009340,1832.359986,453.8414804,725.7465084,99.9650838,47.98324022,2.618657938
39049009350,1757.923767,247.0918252,529.4836508,257.4608371,143.3530423,8.154679113
39049009361,3377.322942,161.5087488,849.45016,808.7503625,618.881806,18.32462624
39049009362,4693.45799,355.3375987,1337.74054,1000.478512,465.527443,9.918645144
39049009371,3490,397,1083,533,354,10.14326648
39049009372,2878,364,1067,270,164,5.698401668
39049009373,2225.000068,252.0000053,884.0000236,247.0000137,49.00000227,2.202247226
39049009374,3971.999932,309.9999947,1380.999976,802.9999863,132.9999977,3.348439074
39049009381,3547,282,1245,678,260,7.330138145
39049009382,2113,410,901,221,61,2.886890677
39049009383,1544,197,668,234,30,1.943005181
39049009384,1962,213,733,299,153,7.798165138
39049009385,2412,229,733,508,213,8.830845771
39049009386,1663,166,477,299,71,4.269392664
39049009390,2871,191,924,626,337,11.73807036
39049009410,1841,318,860,140,30,1.629549158
39049009420,3867.292534,741.274067,1590.889064,299.2411471,87.0881587,2.251915466
39049009430,3124.599232,383.7051823,1215.066411,324.7504798,117.909405,3.773584905
39049009440,2258,389,877,173,89,3.941541187
39049009450,3719.99574,316.9996369,1272.998542,789.9990952,292.9996644,7.876344085
39049009495,2475.914196,291.6129982,880.4315727,404.6629688,105.0605733,4.243304291
39049009497,1225.437861,205.5134875,527.3713873,148.6151252,21.23073218,1.732501733
39049009520,2056,506,888,105,65,3.161478599
39049009590,3078,818,1509,125,58,1.884340481
39049009600,2663,605,977,245,86,3.229440481
39049009711,3028,449,1484,209,103,3.401585205
39049009712,1806,200,850,182,95,5.260243632
39049009720,4258.31602,598.6141516,1691.741913,646.3670373,207.1623201,4.864888353
39049009740,5126,253,1589,1215,411,8.017947718
39049009751,1793,161,587,375,138,7.696597881
39049009752,2537,240,906,481,72,2.837997635
39049009800,4748,719,1966,540,215,4.528222409
39049009900,726,57,138,236,58,7.988980716
39049010000,3515.869565,153.6086957,603.6521739,1156.973913,471.973913,13.4241019
39049010100,247.1470603,60.22555475,94.51603558,16.26058386,7.98658145,3.23150979
39049010200,3747.916507,442.7212176,1334.68233,611.4652879,158.3877669,4.226021755
39049010300,1493.843931,251.1734104,608.5606936,97.26589595,24.32369942,1.628262425
39049010400,3235.517121,116.4228477,307.602631,1419.863044,696.1531313,21.51597736
39049010500,4722.474136,180.0917849,469.9625178,2073.509998,957.7237358,20.28012665
39049010601,1286.112331,94.57818044,209.279378,430.1294908,196.4509545,15.27478975
39049010602,3826.887669,281.4218196,622.720622,1279.870509,584.5490455,15.27478975
39049010700,976,75,160,277,138,14.13934426
39049980000,0.427068377,0.306613194,0.120455183,0,0,0
