GEOID,totalpopulation_2000,popdensity_2000,proportion25to34_2000,aged25to34_2000
39049009430,5206,1129.079687,0.16487524,858.3405
39049009440,3340,972.606421,0.145508982,486
39049009450,5802.993,1221.130856,0.16991213,985.9989
39049009495,4069,539.4303655,0.21971332,894.0135
39049009497,1763,112.5955562,0.090077067,158.80587
39049009520,3454,1406.851969,0.170237406,588
39049009590,4328,257.1694033,0.103974122,450
39049009600,4319,1746.818601,0.146330169,632
39049009711,4652,6189.268471,0.140369733,653
39049009712,2570,5640.002711,0.128793774,331
39049009720,6451.779,2348.727359,0.143730574,927.3179
39049009740,7887,518.335665,0.13756815,1085
39049009751,2836,270.0112607,0.086389281,245
39049009752,4029,1285.780991,0.174981385,705
39049009800,6981,167.4601283,0.107291219,749
39049009900,1300,1166.718667,0.366153846,476
39049010000,5190,1279.746036,0.200827669,1042.2956
39049010100,482,190.0012033,0.130457988,62.88075
39049010200,6154.18,585.0871667,0.218931994,1347.3469
39049010300,2834,374.7371102,0.177438709,502.8613
39049010400,5319,2225.204269,0.119124779,633.6247
39049010500,7768,2409.98438,0.126645533,983.7825
39049010601,2034.689,1448.56819,0.218197498,443.96405
39049010602,6054.311,4424.298082,0.218197579,1321.036
39049010700,1318,2449.249093,0.262518968,346
39049980000,0.8541368,0.197149058,0.166666639,0.14235611
