"","GEOID","totalpopulation_2000","popdensity_2000","proportion25to34_2000","aged25to34_2000","pctwhite_2000","pctblack_2000","white_2000","black_2000","aian_2000","asian_2000","multipleraces_2000","households_2000","familyhouseholds_2000","nonfamilyhouseholds_2000","hhlivingalone_2000","numberofhousingunits_2000","vacancyrate_2000","vacantunits_2000","pctpoverty_2000","poverty_2000","over25population_2000","lessthanhs_2000","hsgrad_2000","fouryeardegree_2000","graddegree_2000","pctgraddegree_2000","occupiedunits_2000","renters_2000","pctrenters_2000","medianincome_2000","latino_2000","pctlatino_2000","whitemedianhhincome_2000","blackmedianhhincome_2000","White.Alone.Population.for.Whom.Poverty.Status.is.Determined","whitepoverty_2000","Black.or.African.American.Alone.Population.for.Whom.Poverty.Status.is.Determined","blackpoverty_2000","whitepctpoverty_2000","blackpctpoverty_2000"
"25",39049001400,1797,2509.335959,0.117974402,212,11.51919866,83.47245409,207,1500,6,11,73,644,438,206,147,782,17.64705882,138,26.37729549,474,945,401,280,33,7,0.740740741,644,348,54.03726708,40141.02142,5,0.278241514,45395.49803,39499.40713,223,40,1472,412,17.93721973,"27.98913043"
"26",39049001500,2223,4387.822958,0.138101664,307,4.183535762,91.63292848,93,2037,3,10,79,772,589,183,174,874,11.67048055,102,37.15699505,826,1081,505,352,33,12,1.110083256,772,526,68.13471503,26704.53988,53,2.384165542,66602.58453,34861.38306,79,38,2149,779,48.10126582,"36.24941833"
"27",39049001600,2077,10974.25676,0.155031295,322,22.91766972,73.37506018,476,1524,8,4,63,775,494,281,187,1000,22.5,225,53.97207511,1121,860,415,254,61,28,3.255813953,775,662,85.41935484,29094.37653,45,2.166586423,37904.27011,18162.84013,478,127,1646,955,26.56903766,"58.01944107"
"28",39049001700,2733,13794.06296,0.171606293,469,54.00658617,33.77241127,1476,923,24,101,208,1228,389,839,593,1482,17.13900135,254,45.33479693,1239,1136,395,336,99,75,6.602112676,1228,1137,92.58957655,23802.3622,172,6.293450421,33901.47245,20618.66466,1525,707,857,427,46.36065574,"49.82497083"
"29",39049001810,3838,25164.29322,0.208441897,800,75.37780094,9.015112038,2893,346,10,409,175,1874,212,1662,878,1987,5.686965274,113,52.3189161,2008,1134,103,127,398,240,21.16402116,1874,1822,97.22518677,18449.51974,132,3.439291298,25373.94655,17639.2825,2827,1601,353,174,56.63247259,"49.2917847"
"30",39049001820,2450,7261.078016,0.370612245,908,86.28571429,6.326530612,2114,155,3,99,78,1393,308,1085,634,1513,7.931262393,120,20.7755102,509,1625,145,94,595,455,28,1393,1081,77.6022972,45671.84392,66,2.693877551,53780.44023,63553.68414,1991,417,151,20,20.94424912,"13.24503311"
"31",39049001901,1412,2187.679608,0.410460552,579.5703,90.86373938,3.831038952,1282.996,54.09427,2.993497,31.01529,40.60683,947.2931779,201.7267687,745.5664091,602.255361,986.0598594,3.931473443,38.7666815,12.88729283,181.9685747,1118.560149,78.94935022,149.7204046,399.3285239,191.9660792,17.16189151,947.2931779,804.4477281,84.92067154,43518.09992,35.50204,2.514308782,57856.14528,23384.83349,1278.270784,155.7375981,43.30975883,11.79879302,12.1834591,"27.24280472"
"32",39049001902,3526,8445.649493,0.396544186,1398.2148,91.17887124,3.675697674,3214.967,129.6051,7.116157,75.59036,98.01954,2331.615785,519.8637156,1811.752069,1464.945143,2426.20453,3.898630302,94.588745,12.38209529,436.5926798,2783.416531,194.941673,370.2482585,1001.155133,484.9166368,17.42163386,2331.615785,1937.726417,83.106592,44549.21239,85.72502,2.431225752,58611.68642,23724.52145,3198.463507,374.214769,106.5320328,27.98869675,11.69982925,"26.27256424"
"33",39049002000,3137,11680.5505,0.372967804,1170,84.02932738,10.9021358,2636,342,18,49,88,1705,450,1255,767,1813,5.956977386,108,14.4086707,452,2350,267,223,841,553,23.53191489,1705,1102,64.63343109,60439.66942,79,2.518329614,72166.78915,21447.41965,2667,274,255,141,10.27371579,"55.29411765"
"34",39049002100,1487,7384.585005,0.423671822,630,88.97108272,5.648957633,1323,84,4,40,35,1054,148,906,741,1193,11.65129925,139,16.40887693,244,1148,126,113,456,220,19.16376307,1054,936,88.80455408,45944.59078,42,2.824478816,53877.08753,53666.75844,1306,208,68,8,15.92649311,"11.76470588"
