GEOID,whitemedianhhincome_2000,blackmedianhhincome_2000,White Alone Population for Whom Poverty Status is Determined,whitepoverty_2000,Black or African American Alone Population for Whom Poverty Status is Determined,blackpoverty_2000,whitepctpoverty_2000,blackpctpoverty_2000
39049006391,184452.3595,150010.8772,3910,45,70,0,1.150895141,0
39049006392,197072.1953,98787.06379,4167,84,26,0,2.015838733,0
39049006393,126007.2822,224301.221,4917.303876,62.49416297,191.4294887,0,1.27090301,0
39049006394,126007.2822,224301.221,2557.696124,32.50583703,99.57051132,0,1.27090301,0
39049006395,82427.30919,122123.685,3253.936562,157.2440116,93.8391682,11.15925243,4.832424006,11.89189189
39049006396,82427.30919,122123.685,3161.063438,152.7559884,91.1608318,10.84074757,4.832424006,11.89189189
39049006410,121898.394,52291.46434,2583,104,21,0,4.026325978,0
39049006430,112702.5645,119076.1825,4137,49,21,7,1.184433164,33.33333333
39049006500,163592.6991,0,3370,191,8,4,5.667655786,50
39049006600,138777.9727,1.764104661,3564.030646,44.12801565,34.31297544,0.084764182,1.238149164,0.247032444
39049006710,99182.67122,65775.73894,2489,86,172,0,3.455202893,0
39049006721,140104.5523,119076.1825,3237,16,19,0,0.494284832,0
39049006722,102290.854,90548.3075,2482,89,44,5,3.585817889,11.36363636
39049006810,103832.6234,105844.5155,2210,65,22,0,2.941176471,0
39049006821,50785.90979,38363.19868,2697,343,406,130,12.71783463,32.01970443
39049006822,91210.03805,79382.94563,1963,35,28,8,1.782985227,28.57142857
39049006910,152664.7198,0,1366,15,0,0,1.098096633,#DIV/0!
39049006921,65909.3895,55187.07408,2950,280,462,42,9.491525424,9.090909091
39049006923,70941.8536,60219.53835,2684,131,376,21,4.880774963,5.585106383
39049006924,66535.34117,58514.62275,2628,169,699,100,6.430745814,14.30615165
39049006931,67958.44158,60371.6506,3744,352,1400,194,9.401709402,13.85714286
39049006932,88518.80211,110592.4049,3573,159,1676,34,4.450041982,2.028639618
39049006933,54609.21276,48633.98329,1862,129,2652,480,6.928034372,18.09954751
39049006942,66776.78278,60833.87992,903,69,211,0,7.641196013,0
39049006943,77173.58183,88518.68489,3342,154,692,74,4.60801915,10.69364162
39049006944,103100.975,99637.56703,3595,93,565,38,2.586926287,6.725663717
39049006945,61741.89902,62799.13813,3167,227,1417,289,7.167666561,20.39520113
39049006950,139276.8961,8819.641251,2552,45,15,4,1.763322884,26.66666667
39049006990,91671.51895,53993.0261,5693.633772,209.9864932,690.9555562,118.9923461,3.688092729,17.22141823
39049007010,68215.35436,54172.44942,2372,269,203,32,11.34064081,15.7635468
39049007020,100300.4322,190078.6594,6241,181,102,0,2.900176254,0
39049007041,100972.8393,94428.29131,1728.204388,82.02250926,109.0998195,0,4.746111619,0
39049007043,100972.8393,94428.29131,2755.493589,130.7788014,173.9515624,0,4.746111619,0
39049007044,100972.8393,94428.29131,4260.302023,202.1986893,268.9486181,0,4.746111619,0
39049007047,92618.61617,109726.2635,2897.906695,91.30780092,265.4013413,2.84068714,3.150819213,1.070336391
39049007048,92618.61617,109726.2635,4243.093305,133.6921991,388.5986587,4.15931286,3.150819213,1.070336391
39049007112,89867.36916,107697.0056,2774,113,675,33,4.073540014,4.888888889
39049007113,82385.32986,79454.19306,3124.088975,188.9449012,840.7548249,45.98658971,6.048,5.469678954
39049007114,80953.5323,65307.17866,2867.863155,232.191937,688.048185,84.20912303,8.096339488,12.23884095
39049007115,73055.3422,63790.13417,3752.136845,225.808063,878.951815,85.79087697,6.018119068,9.760589319
39049007120,93052.05489,77780.45751,4479,139,322,45,3.103371288,13.97515528
39049007132,104868.5291,111750.5524,5343,91,392,0,1.703163017,0
39049007193,147759.7828,147071.3091,6275,101,82,0,1.609561753,0
39049007194,118017.1504,102788.2309,5935,172,311,0,2.898062342,0
39049007198,100771.2806,89071.57545,2441.808696,98.33043478,162.226087,4.591304348,4.026950799,2.830188679
39049007199,92430.35086,100208.3726,4135.882157,95.47750954,855.2299753,41.99927102,2.308516198,4.910874528
39049007201,134407.7507,117459.4376,625.7133113,17.03314505,16.88756261,0.727912182,2.72219637,4.310344828
39049007202,92432.41039,100217.5917,2365.028868,54.57758925,489.0151997,24.01413927,2.307692308,4.910714286
39049007203,134407.7507,117459.4376,1279.595492,34.83310203,34.53538321,1.488594104,2.72219637,4.310344828
39049007205,134407.7507,117459.4376,199.3345869,5.426278891,5.379900439,0.23189226,2.72219637,4.310344828
39049007207,134407.7507,117459.4376,1090.33548,29.68107285,29.42738847,1.268421917,2.72219637,4.310344828
39049007209,134407.7507,117459.4376,725.5008876,19.74955883,19.58075918,0.843998241,2.72219637,4.310344828
39049007210,134407.7507,117459.4376,4675.520243,127.2768424,126.1890061,5.439181297,2.72219637,4.310344828
39049007393,160291.0333,197342.7853,6177.631097,141.9612991,280.0649542,0,2.297989259,0
39049007394,160291.0333,197342.7853,1829.368903,42.03870092,82.93504583,0,2.297989259,0
39049007395,91299.20416,72579.15049,3996.176194,185.5315752,839.2404847,186.2563079,4.642727602,22.19343696
39049007396,91299.20416,72579.15049,1517.823806,70.4684248,318.7595153,70.74369209,4.642727602,22.19343696
39049007424,76326.63119,44102.61652,4372.051341,348.6850818,482.5641676,156.8583319,7.975319927,32.50517598
39049007425,91370.13082,59584.92501,2608.578575,103.4065294,159.4982873,0.141668072,3.964094866,0.088821062
39049007426,96549.77332,79424.55051,2837.445252,98.89822444,67.98305419,0.0063158,3.48546723,0.009290257
39049007427,118706.002,143021.3061,4976,163,802,3,3.275723473,0.374064838
39049007492,132587.5734,138236.9911,5091.924832,52.01016439,550.9544909,61.9936842,1.021424434,11.25205171
39049007494,117445.2718,133407.5372,3788.335895,43.98068057,579.7453348,125.9446762,1.160949868,21.72413793
39049007511,30785.10687,55013.38227,294,80,1272,324,27.21088435,25.47169811
39049007512,48176.58447,58632.45587,245.9917536,32.99889378,3391.886294,579.9805574,13.41463415,17.0990566
39049007520,51815.8324,41556.65804,962.9893848,228.9974757,2178.975981,711.9921516,23.77985462,32.67553924
39049007531,58008.46939,58592.37085,1192,143,897,209,11.9966443,23.29988852
39049007532,42775.99587,42894.16098,673,86,1469,284,12.77860327,19.33287951
39049007533,42255.53355,63718.86396,317,62,1172,104,19.55835962,8.873720137
39049007534,42697.81537,44515.86498,756,129,1942,592,17.06349206,30.48403708
39049007550,62297.23933,90538.71477,360.0188615,164.0036305,1404.137725,201.027291,45.5541773,14.31677872
39049007551,51931.43459,38905.44009,205.7165109,47.27102804,2887.034268,940.1682243,22.9787234,32.56519102
39049007710,63547.68941,37346.34465,2967,298,1203,337,10.0438153,28.01330008
39049007721,55076.43927,48962.1713,2643,323,2691,397,12.22096103,14.75287997
39049007722,60814.13385,47757.22709,2518,229,546,140,9.09451946,25.64102564
39049007730,61255.74734,79382.94563,2082,116,487,65,5.571565802,13.34702259
39049007740,62418.15325,49981.78932,1591,83,39,0,5.216844752,0
39049007811,83946.85852,89433.30595,3150.803316,130.6647935,135.6142175,0,4.147031103,0
39049007812,75733.66265,30076.96502,3336,504,85,48,15.10791367,56.47058824
39049007820,39048.16908,32681.10323,1794,683,415,177,38.07134894,42.65060241
39049007830,53728.06946,70562.42232,2233,290,81,8,12.98701299,9.87654321
39049007921,103723.0145,131103.367,4413,48,60,0,1.087695445,0
39049007922,137664.0685,118611.4312,4076,42,35,0,1.030421982,0
39049007931,101369.4499,119076.1825,3956,196,31,0,4.954499494,0
39049007933,108181.8344,181421.6492,6955,90,145,0,1.29403307,0
39049007941,100410.5439,1.764104661,2331,39,72,0,1.673101673,0
39049007951,141704.2973,97380.61031,6850,59,159,0,0.861313869,0
39049007952,123558.3936,65053.00107,6935,111,79,0,1.600576784,0
39049007953,89541.42868,55474.87384,5234.819832,274.4202222,295.2558317,63.52319959,5.242209494,21.51462995
39049007954,89541.42868,55474.87384,5066.180168,265.5797778,285.7441683,61.47680041,5.242209494,21.51462995
39049008000,120522.4453,1.764104661,4250,28,54,0,0.658823529,0
39049008110,56872.33717,26459.80581,3939,430,209,129,10.91647626,61.72248804
39049008120,60119.80752,36590.64306,3423,412,105,29,12.03622553,27.61904762
