GEOID,pctwhite_2000,pctblack_2000,white_2000,black_2000,aian_2000,asian_2000,multipleraces_2000,households_2000,familyhouseholds_2000,nonfamilyhouseholds_2000,hhlivingalone_2000,numberofhousingunits_2000,vacancyrate_2000,vacantunits_2000,pctpoverty_2000,poverty_2000
39049004620,79.29054054,13.24324324,2347,392,21,72,128,990,704,286,214,1122,11.76470588,132,16.48648649,488
39049004700,57.94629898,33.76269956,3194,1861,27,84,345,1894,1278,616,456,2199,13.86994088,305,23.22206096,1280
39049004810,88.40979648,5.519144533,2563,160,6,91,79,1186,739,447,350,1235,3.967611336,49,15.17764746,440
39049004820,75.42039356,18.60465116,2108,520,5,50,110,1049,694,355,282,1152,8.940972222,103,20.07155635,561
39049004900,72.78564373,20.25024695,4421,1230,38,116,268,2395,1497,898,758,2648,9.554380665,253,20.71122819,1258
39049005000,86.57211829,9.308992154,5738,617,38,45,190,2378,1394,984,779,2807,15.28322052,429,31.2009656,2068
39049005100,54.58633094,28.73201439,1214,639,3,6,359,880,473,407,306,997,11.73520562,117,46.0881295,1025
39049005200,86.56202144,9.264931087,2261,242,9,41,56,1506,398,1108,805,1658,9.167671894,152,14.62480858,382
39049005300,13.5096292,82.46622593,470,2869,9,21,110,1204,730,474,366,1659,27.42616034,455,43.80569129,1524
39049005410,5.268013423,91.88728944,102.1796,1782.267,2.012732,4.999969,48.1581,707.7488821,468.1714055,239.5774766,270.3824865,927.1116545,23.66087961,219.3627724,29.78322678,577.6823168
39049005420,3.888452072,92.30165679,98.81976,2345.722,6.987256,0,86.84161,961.2467971,643.8257364,317.4210607,210.615861,1160.882684,17.19690453,199.6358869,36.37077547,924.3141579
39049005500,7.048540078,89.06453413,379,4789,12,47,150,1987,1357,630,532,2346,15.3026428,359,29.34721964,1578
39049005610,36.63157895,58.06315789,870,1379,17,23,86,834,555,279,155,1019,18.15505397,185,36.25263158,861
39049005620,69.05723906,26.43097643,2051,785,21,10,102,1097,702,395,348,1218,9.934318555,121,24.64646465,732
39049005700,93.54736173,3.178639542,2943,100,6,42,54,1857,587,1270,933,2008,7.519920319,151,6.03941513,190
39049005810,89.96138996,4.633204633,2563,132,9,34,109,1400,566,834,583,1540,9.090909091,140,13.79431379,393
39049005820,92.83289325,3.960769521,2461,105,7,12,66,1069,617,452,329,1186,9.865092749,117,23.80233874,631
39049005900,28.57594937,66.7721519,903,2110,17,32,98,1116,761,355,278,1231,9.341998375,115,19.96835443,631
39049006000,55.44662309,38.3805374,1527,1057,12,13,145,966,693,273,215,1041,7.204610951,75,35.69353667,983
39049006100,83.47485304,10.5813194,2556,324,39,15,127,1121,735,386,290,1360,17.57352941,239,34.25865447,1049
39049006220,89.02902557,1.503109883,5153,87,6,434,108,2567,1495,1072,893,2726,5.832721937,159,3.455425017,200
39049006230,80.59565138,2.539740544,4411,139,5,820,98,2443,1391,1052,800,2899,15.72956192,456,5.189110177,284
39049006236,92.88402645,1.542198016,5338.045,88.63012,2.7915,281.9415,35.59162,1815.870553,1615.580449,200.2901032,170.9793564,1879.377171,3.379131075,63.506618,2.428658167,139.5749848
39049006310,96.24683399,0.345383376,4180,15,3,112,33,1745,1345,400,366,1799,3.001667593,54,1.036150127,45
39049006321,93.70043881,0.792063384,3843.592,32.49044,1.015326,184.7844,40.117401,1637.667229,1199.020961,438.646268,403.4778036,1680.719345,2.561529153,43.052116,1.307169697,53.62010099
39049006323,93.4670313,0.729261623,3076,24,4,141,46,1528,1005,523,470,1579,3.229892337,51,1.428137344,47
39049006330,95.73489442,0.522684508,4579,25,3,90,85,2041,1295,746,644,2097,2.67048164,56,3.554254652,170
39049006340,89.36442031,0.574896199,2798,18,3,279,33,1255,911,344,277,1302,3.609831029,47,1.437240498,45
39049006351,92.06834991,2.72889569,3610,107,1,127,75,1906,984,922,649,1937,1.60041301,31,6.860494772,269
39049006352,74.48154657,5.237258348,2119,149,6,461,110,1747,394,1353,896,1857,5.923532579,110,23.23374341,661
39049006353,83.53435639,2.69080623,3647.11,117.4806,4.015019,448.7936,146.60078,2464.69186,878.1434109,1586.54845,1216.037791,2541.337694,3.015964159,76.645834,9.546404653,416.7960272
39049006371,85.71428571,3.124514224,5514,201,6,505,201,2766,1564,1202,895,2872,3.690807799,106,2.829162133,182
39049006372,80.25538403,3.259005146,4211,171,13,646,203,2368,1237,1131,730,2536,6.624605678,168,7.223175148,379
39049006383,86.65663063,4.133023129,6332,302,15,363,288,3035,1796,1239,840,3130,3.03514377,95,5.830026002,426
39049006384,85.39119804,3.285452323,5588,215,8,556,171,2623,1651,972,693,2680,2.126865672,57,1.971271394,129
39049006386,80.97189696,3.425058548,2766,117,4,407,120,1503,829,674,497,1649,8.853850819,146,2.195550351,75
39049006387,85.87095595,3.19868397,4698,175,6,424,165,2388,1345,1043,768,2518,5.162827641,130,4.971668799,272
39049006391,94.84136595,1.162509082,3916,48,2,128,35,1456,1270,186,170,1492,2.412868633,36,1.2351659,51
39049006392,89.94006849,1.455479452,4202,68,3,348,51,1610,1406,204,162,1644,2.068126521,34,1.797945205,84
39049006393,87.89400177,2.871818988,4952.827,161.827,2.631333,371.6758,145.38115,1916.268387,1520.252743,396.0156432,292.0779827,1954.422718,1.952204641,38.154331,1.190754144,67.09899603
39049006394,87.89399522,2.871818833,2576.173,84.17301,1.368667,193.3242,75.61885,996.7316134,790.7472566,205.9843568,151.9220173,1016.577282,1.952204614,19.8456686,1.190754144,34.90100397
39049006395,84.77231448,2.750723923,3267.125,106.0129,6.594104,383.9797,89.27402,1982.796262,832.8860226,1149.91024,897.8125823,2087.287444,5.00607534,104.491182,6.607001842,254.633851
39049006396,84.77230235,2.750723825,3173.875,102.9871,6.405896,373.0203,86.72598,1926.203738,809.1139774,1117.08976,872.1874177,2027.712556,5.006075329,101.508818,6.607001843,247.366149
39049006410,96.09720177,0.994108984,2610,27,2,53,24,1251,718,533,427,1301,3.84319754,50,4.970544919,135
39049006430,91.28593715,1.114330287,4096,50,14,271,55,1871,1224,647,576,1926,2.855659398,55,3.097838199,139
39049006500,97.68041237,0.143184422,3411,5,3,44,28,1316,952,364,333,1339,1.717699776,23,5.58419244,195
39049006600,97.44894275,0.628963899,3779.07,24.39122,2.021734,48.22386,24.291246,1619.802869,978.3823082,641.4205607,555.3816562,1693.083243,4.328220382,73.280374,1.297501418,50.31710498
