GEOID,occupiedunits_2000,renterunits_2000,pctrenters_2000
39049009720,2695.43238,1059.221676,39.29691147
39049009740,2725,141,5.174311927
39049009751,965,75,7.772020725
39049009752,1336,134,10.02994012
39049009800,2539,184,7.246947617
39049009900,807,806,99.87608426
39049010000,2305.504348,1031.304348,44.73226645
39049010100,177.5008053,102.164527,57.55721887
39049010200,2538.155134,1130.2864,44.53180913
39049010300,904.8959538,721.9595376,79.78370713
39049010400,1816.143377,451.8570785,24.88003338
39049010500,2678.986071,739.9895518,27.62200072
39049010601,746.8154727,211.2916797,28.29235433
39049010602,2222.184527,628.7083203,28.29235433
39049010700,818,690,84.35207824
39049980000,0.339464607,0.328514136,96.77419355
