"","GEOID","medianhhincome_2010","aian_2010","asian_2010","hhlivingalone_2010","black_2010","blackmedianincome_2010","blackpoverty_2010","familyhouseholds_2010","fouryeardegree_2010","graddegree_2010","hsgrad_2010","latino_2010","latinopoverty_2010","lessthanhs_2010","medianage_2010","grossrent_2010","monthlyhousingcost_2010","multipleraces_2010","nonfamilyhouseholds_2010","numberofhousingunits_2010","over25population_2010","poverty_2010","totalpopulation_2010","vacantunits_2010","white_2010","white25andolder_2010","whitemedianincome_2010","whitepoverty_2010","renters_2010","occupiedunits_2010","vacancyrate_2010","pctwhite_2010","pctblack_2010","pctlatino_2010","pctwhitepoverty_2010","pctblackpoverty_2010","pctlatinopoverty_2010","pctpoverty_2010","pctlessthanhs_2010","pcthsgrad_2010","pctfouryeardegree_2010","pctgraddegree_2010","pctrenters_2010","X","totalpopulation_2000","popdensity_2000","proportion25to34_2000","aged25to34_2000","pctwhite_2000","pctblack_2000","white_2000","black_2000","aian_2000","asian_2000","multipleraces_2000","households_2000","familyhouseholds_2000","nonfamilyhouseholds_2000","hhlivingalone_2000","numberofhousingunits_2000","vacancyrate_2000","vacantunits_2000","pctpoverty_2000","poverty_2000","over25population_2000","lessthanhs_2000","hsgrad_2000","fouryeardegree_2000","graddegree_2000","pctgraddegree_2000","occupiedunits_2000","renters_2000","pctrenters_2000","medianincome_2000","latino_2000","pctlatino_2000","whitemedianhhincome_2000","blackmedianhhincome_2000","White.Alone.Population.for.Whom.Poverty.Status.is.Determined","whitepoverty_2000","Black.or.African.American.Alone.Population.for.Whom.Poverty.Status.is.Determined","blackpoverty_2000","whitepctpoverty_2000","blackpctpoverty_2000"
"21",39049001121,7361,18,769,24,330,NA,0,0,26,142,0,168,0,0,19.4,1014,1014,56,65,65,194,209,7908,0,6393,35,7361,209,65,227,0,80.8421851289833,4.17298937784522,2.12443095599393,3.26920068825278,0,0,2.64289327263531,0,0,13.4020618556701,73.1958762886598,28.6343612334802,21,7931.477,22789.62391,0.079758842,632.60542,74.45146724,10.30836123,5905.101,817.6053,7.055079,813.6858,351.1862,566.758012,281.4192618,285.3387502,202.2455976,594.9783279,4.743082996,28.2203159,3.884166624,308.0717824,1020.63476,49.38555291,69.76689221,305.7200895,500.1267105,49.00153611,566.758012,455.4445435,80.35961272,32969.15629,181.0804,2.283060267,48706.44104,26461.56991,558.9190353,166.9702027,145.8049657,54.87283657,29.87377279,"37.6344086"
"22",39049001122,15625,0,725,197,339,2499,168,289,178,344,58,112,14,45,20.4,706,641,18,317,771,783,686,2912,165,1746,376,16917,279,502,1301,21.4007782101167,59.9587912087912,11.6414835164835,3.84615384615385,15.979381443299,49.5575221238938,12.5,23.5576923076923,5.74712643678161,7.40740740740741,22.7330779054917,43.933588761175,38.5857033051499,22,2186.523,945.2481003,0.079758859,174.39458,74.45149216,10.30836172,1627.899,225.3947,1.944921,224.3142,96.81384,156.241988,77.58073817,78.66124984,55.75440236,164.0216721,4.743083033,7.7796841,3.884167583,84.92821755,281.3652398,13.61444709,19.23310779,84.27991055,137.8732895,49.00153609,156.241988,125.5554565,80.35961272,32969.15629,49.91964,2.283060366,48706.44104,26459.80581,154.0809647,46.0297973,40.19503426,15.12716343,29.87377279,"37.6344086"
"23",39049001200,17429,0,177,352,255,7344,190,112,233,128,98,102,102,106,21.8,917,897,9,1284,1648,701,3941,5104,252,4465,585,18091,3430,1268,4963,15.2912621359223,87.480407523511,4.99608150470219,1.99843260188088,76.8197088465845,74.5098039215686,100,77.2139498432602,15.1212553495007,13.9800285306705,33.2382310984308,18.2596291012839,25.5490630666935,23,4372,16870.49784,0.115736505,506,84.69807868,5.192131747,3703,227,20,292,129,1751,217,1534,605,1922,8.89698231,171,55.55809698,2429,895,94,62,222,136,15.19553073,1751,1647,94.06053684,23782.23235,114,2.607502287,31253.14365,45278.12027,3589,2139,208,76,59.59877403,"36.53846154"
"24",39049001300,12112,0,217,736,328,6938,303,194,186,61,145,258,236,69,21.5,772,767,22,1740,2297,769,3864,5404,363,4509,570,13315,3182,1853,5062,15.8032215933827,83.4381939304219,6.06957809030348,4.77424130273871,70.5699711687736,92.3780487804878,91.4728682170543,71.5025906735751,8.97269180754226,18.8556566970091,24.1872561768531,7.93237971391417,36.6060845515606,24,5672,21476.33128,0.112306065,637,80.97672779,10.59590973,4593,601,11,277,184,2281,274,2007,906,2532,9.913112164,251,54.848378,3111,1084,153,219,232,116,10.70110701,2281,2201,96.49276633,20560.48246,127,2.239069111,30306.52379,19690.75425,4284,2504,559,315,58.45004669,"56.35062612"
"25",39049001400,24632,0,30,214,1058,22295,417,291,9,16,309,0,0,179,27.2,773,706,0,224,829,683,489,1340,314,121,103,37604,66,324,1340,37.8769601930036,9.02985074626866,78.955223880597,0,54.5454545454545,39.413988657845,NA,36.4925373134328,26.207906295754,45.2415812591508,1.31771595900439,2.34260614934114,24.1791044776119,25,1797,2509.335959,0.117974402,212,11.51919866,83.47245409,207,1500,6,11,73,644,438,206,147,782,17.64705882,138,26.37729549,474,945,401,280,33,7,0.740740741,644,348,54.03726708,40141.02142,5,0.278241514,45395.49803,39499.40713,223,40,1472,412,17.93721973,"27.98913043"
"26",39049001500,12416,0,0,216,1504,13071,919,408,33,14,303,0,0,194,29.3,520,523,0,233,879,819,951,1559,238,23,23,NA,0,470,1559,27.0762229806598,1.47530468248877,96.4720974983964,0,0,61.1037234042553,NA,61.0006414368185,23.6874236874237,36.996336996337,4.02930402930403,1.70940170940171,30.1475304682489,26,2223,4387.822958,0.138101664,307,4.183535762,91.63292848,93,2037,3,10,79,772,589,183,174,874,11.67048055,102,37.15699505,826,1081,505,352,33,12,1.110083256,772,526,68.13471503,26704.53988,53,2.384165542,66602.58453,34861.38306,79,38,2149,779,48.10126582,"36.24941833"
"27",39049001600,11360,0,60,253,625,7425,550,168,128,10,125,0,0,138,23.3,564,547,0,355,945,500,850,1096,422,411,278,15875,240,464,1096,44.6560846560847,37.5,57.0255474452555,0,58.3941605839416,88,NA,77.5547445255474,27.6,25,25.6,2,42.3357664233577,27,2077,10974.25676,0.155031295,322,22.91766972,73.37506018,476,1524,8,4,63,775,494,281,187,1000,22.5,225,53.97207511,1121,860,415,254,61,28,3.255813953,775,662,85.41935484,29094.37653,45,2.166586423,37904.27011,18162.84013,478,127,1646,955,26.56903766,"58.01944107"
"28",39049001700,12443,0,190,452,645,10250,422,325,119,58,274,189,189,237,22.4,571,591,13,682,1419,893,1434,2333,412,1234,494,17972,696,894,2333,29.0345313601128,52.8932704672096,27.6468066866695,8.10115730818688,56.4019448946515,65.4263565891473,100,61.4659237033862,26.5397536394177,30.6830907054871,13.3258678611422,6.494960806271,38.3197599657094,28,2733,13794.06296,0.171606293,469,54.00658617,33.77241127,1476,923,24,101,208,1228,389,839,593,1482,17.13900135,254,45.33479693,1239,1136,395,336,99,75,6.602112676,1228,1137,92.58957655,23802.3622,172,6.293450421,33901.47245,20618.66466,1525,707,857,427,46.36065574,"49.82497083"
"29",39049001810,17202,0,665,778,119,4850,69,187,442,342,109,25,25,96,21.9,590,594,0,1388,1877,1168,2669,3994,302,3063,773,15841,2212,1527,3851,16.0895045285029,76.6900350525789,2.97946920380571,0.625938908362544,72.2167809337251,57.9831932773109,100,66.8252378567852,8.21917808219178,9.33219178082192,37.8424657534247,29.2808219178082,39.6520384315762,29,3838,25164.29322,0.208441897,800,75.37780094,9.015112038,2893,346,10,409,175,1874,212,1662,878,1987,5.686965274,113,52.3189161,2008,1134,103,127,398,240,21.16402116,1874,1822,97.22518677,18449.51974,132,3.439291298,25373.94655,17639.2825,2827,1601,353,174,56.63247259,"49.2917847"
"30",39049001820,33750,0,122,540,164,13385,93,321,825,319,126,182,182,68,25.8,814,874,0,955,1444,1549,744,2513,168,2064,1365,42466,391,1005,2513,11.6343490304709,82.132908873856,6.52606446478313,7.24233983286908,18.9437984496124,56.7073170731707,100,29.6060485475527,4.38992898644287,8.13428018076178,53.2601678502259,20.593931568754,39.992041384799,30,2450,7261.078016,0.370612245,908,86.28571429,6.326530612,2114,155,3,99,78,1393,308,1085,634,1513,7.931262393,120,20.7755102,509,1625,145,94,595,455,28,1393,1081,77.6022972,45671.84392,66,2.693877551,53780.44023,63553.68414,1991,417,151,20,20.94424912,"13.24503311"
