"","GEOID","medianhhincome_2010","aian_2010","asian_2010","hhlivingalone_2010","black_2010","blackmedianincome_2010","blackpoverty_2010","familyhouseholds_2010","fouryeardegree_2010","graddegree_2010","hsgrad_2010","latino_2010","latinopoverty_2010","lessthanhs_2010","medianage_2010","grossrent_2010","monthlyhousingcost_2010","multipleraces_2010","nonfamilyhouseholds_2010","numberofhousingunits_2010","over25population_2010","poverty_2010","totalpopulation_2010","vacantunits_2010","white_2010","white25andolder_2010","whitemedianincome_2010","whitepoverty_2010","renters_2010","occupiedunits_2010","vacancyrate_2010","pctwhite_2010","pctblack_2010","pctlatino_2010","pctwhitepoverty_2010","pctblackpoverty_2010","pctlatinopoverty_2010","pctpoverty_2010","pctlessthanhs_2010","pcthsgrad_2010","pctfouryeardegree_2010","pctgraddegree_2010","pctrenters_2010"
"81",39049006236,162708,0,396,216,38,82167,0,1699,1660,1158,131,15,15,121,40.8,892,2548,17,225,1957,3651,175,5908,33,5447,3328,163438,175,33,5908,1.68625447112928,92.1970209884902,0.643195666892349,0.253893026404875,3.21277767578484,0,100,2.96208530805687,3.31416050397151,3.58805806628321,45.4669953437414,31.7173377156943,0.558564658090724
"82",39049006310,111825,0,225,433,43,NA,0,1212,1169,1026,242,111,111,41,47.4,1168,1745,15,468,1811,3039,200,4288,131,3998,2841,111528,177,71,4288,7.23357261181668,93.2369402985075,1.00279850746269,2.58861940298507,4.4272136068034,0,100,4.66417910447761,1.34912800263244,7.96314577163541,38.4666008555446,33.7611056268509,1.65578358208955
"83",39049006321,103636,0,132,355,10,NA,0,1151,1003,1034,267,177,177,51,46,960,1459,10,399,1706,2835,187,4149,156,3882,2700,105694,136,102,4004,9.14419695193435,93.5647143890094,0.241021932995903,4.26608821402748,3.50334878928387,0,100,4.50711014702338,1.7989417989418,9.41798941798942,35.379188712522,36.4726631393298,2.54745254745255
"84",39049006323,93594,0,235,436,29,118000,6,941,846,886,319,93,93,55,49.3,878,1320,0,472,1569,2488,151,3269,156,2933,2265,93938,134,254,3269,9.94263862332696,89.7216274089936,0.887121443866626,2.84490669929642,4.56870098874872,20.6896551724138,100,4.61914958702967,2.21061093247588,12.8215434083601,34.0032154340836,35.6109324758842,7.769960232487
"85",39049006330,64023,0,104,615,75,52833,60,1338,1033,651,593,115,115,113,34.5,1007,1296,0,656,2095,3171,252,4776,101,4307,3046,64219,93,354,4776,4.82100238663485,90.180067001675,1.57035175879397,2.40787269681742,2.15927559786394,80,100,5.27638190954774,3.56354462314727,18.7007253232419,32.5764742983286,20.5298013245033,7.41206030150754
"86",39049006340,94444,0,273,333,0,NA,0,820,817,627,202,65,65,83,47.1,989,1318,0,370,1299,2147,89,2994,109,2721,1981,86898,51,336,2994,8.39107005388761,90.8817635270541,0,2.17100868403474,1.87431091510474,NA,100,2.97261189044756,3.86585933861202,9.40847694457382,38.0530973451327,29.2035398230088,11.2224448897796
"87",39049006351,52575,0,283,704,120,37835,9,885,983,582,341,46,46,105,41.6,870,898,0,967,1975,2863,475,3734,123,3232,2520,53275,328,756,3734,6.22784810126582,86.5559721478307,3.21371183717193,1.23192287091591,10.1485148514851,7.5,100,12.7209426888056,3.66748166259169,11.9105833042263,34.3346140412155,20.3283269297939,20.2463845741832
"88",39049006352,30275,0,396,743,188,32708,60,326,639,284,293,264,264,89,27,759,773,0,1161,1833,1632,903,2658,346,1965,1227,30727,661,1350,2658,18.8761593016912,73.9277652370203,7.07298720842739,9.93227990970655,33.6386768447837,31.9148936170213,100,33.9729119638826,5.45343137254902,17.953431372549,39.1544117647059,17.4019607843137,50.7900677200903
"89",39049006353,40260,0,417,1092,129,34051,0,761,1094,424,448,331,331,206,30.5,694,737,0,1386,2593,2961,677,4088,446,3389,2450,39821,665,1275,4088,17.2001542614732,82.9011741682975,3.15557729941292,8.09686888454012,19.622307465329,0,100,16.5606653620352,6.95710908476866,15.1300236406619,36.9469773725093,14.3194866599122,31.1888454011742
"90",39049006371,65741,0,759,1188,156,46365,9,1413,1726,660,644,112,112,156,34.2,867,975,0,1395,3017,4324,216,6260,209,5272,3641,64590,196,1580,6243,6.927411335764,84.2172523961661,2.49201277955272,1.78913738019169,3.71775417298938,5.76923076923077,100,3.45047923322684,3.60777058279371,14.8936170212766,39.9167437557817,15.263644773358,25.3083453467884
"91",39049006372,46899,0,777,807,586,30517,180,1232,1102,515,581,525,525,268,30.3,825,871,0,1223,2734,3658,1126,5539,279,3986,2775,45986,831,1618,5539,10.2048280907096,71.9624480953241,10.5795269904315,9.47824517060841,20.8479678876066,30.7167235494881,100,20.3285791659144,7.32640787315473,15.882996172772,30.1257517769273,14.0787315472936,29.2110489257989
"92",39049006383,58076,0,582,905,406,33795,51,2075,1684,972,1188,601,601,292,32.4,876,972,18,1228,3854,5436,1013,8269,551,6792,4523,59902,736,1677,8269,14.2968344577063,82.1381061797073,4.90990446245011,7.26810980771556,10.8362779740872,12.5615763546798,100,12.2505744346354,5.37159676232524,21.8543046357616,30.9786607799853,17.8807947019868,20.2805659692829
"93",39049006384,66884,0,707,757,281,70116,0,1711,1407,676,985,524,524,125,30.8,873,993,0,941,2782,4420,226,6832,130,5551,3626,62320,204,1444,6832,4.67289719626168,81.25,4.11299765807962,7.66978922716628,3.67501351107909,0,100,3.307962529274,2.82805429864253,22.2850678733032,31.8325791855204,15.2941176470588,21.135831381733
"94",39049006386,52889,0,398,518,159,48750,0,824,750,328,356,145,145,214,31.5,966,1114,35,665,1662,2356,312,3529,173,2849,1956,54076,191,850,3529,10.4091456077016,80.7310852932842,4.50552564465854,4.10881269481439,6.7041067041067,0,100,8.84103145366959,9.08319185059423,15.1103565365025,31.8336162988115,13.9219015280136,24.0861433833947
"95",39049006387,53261,0,434,815,116,36650,0,1554,1312,724,960,312,312,155,34.1,894,978,0,933,2771,4084,659,5607,284,4810,3588,53592,552,1217,5607,10.2490075784915,85.7856251114678,2.06884251828072,5.56447298020332,11.4760914760915,0,100,11.75316568575,3.79529872673849,23.5063663075416,32.1253672869736,17.7277179236043,21.705011592652
"96",39049006391,130089,0,150,189,208,44476,0,1268,1124,941,266,49,49,16,43.4,1637,2040,0,225,1501,2941,0,4275,8,3899,2732,133571,0,115,4275,0.532978014656895,91.2046783625731,4.86549707602339,1.14619883040936,0,0,100,0,0.544032641958518,9.04454267256035,38.2182930975859,31.9959197551853,2.69005847953216
"97",39049006392,129545,42,339,249,81,49722,0,1255,1060,893,268,21,21,73,45.8,549,1596,11,249,1641,2828,89,4106,137,3584,2538,130682,47,76,4106,8.34856794637416,87.2868972235753,1.97272284461763,0.511446663419386,1.31138392857143,0,100,2.1675596687774,2.58132956152758,9.47666195190948,37.4823196605375,31.5770862800566,1.85094982951778
"98",39049006393,79271,0,419,472,167,100294,0,1422,1046,675,553,101,101,77,37,821,1576,0,515,2056,3335,121,5053,119,4326,2893,79340,26,362,5053,5.78793774319066,85.6125074213339,3.30496734613101,1.99881258658223,0.601017105871475,0,100,2.39461705917277,2.30884557721139,16.5817091454273,31.3643178410795,20.23988005997,7.16406095388878
"99",39049006394,74554,0,186,226,151,73452,11,715,718,251,331,0,0,37,31.9,1151,1282,0,303,1058,1761,45,2772,40,2385,1538,75556,34,77,2772,3.78071833648393,86.038961038961,5.44733044733045,0,1.42557651991614,7.28476821192053,NA,1.62337662337662,2.10107893242476,18.7961385576377,40.7722884724588,14.2532651902328,2.77777777777778
