"","aian_2021","asian_2021","hhlivingalone_2021","black_2021","latino_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","totalpopulation_2021","vacantunits_2021","white_2021","renters_2021","occupiedunits_2021","GEOID"
"186",0,661,1086,1052,89569,0,1525,3794,8788,217,6151,3923,8788,39049007954
"187",0,248,472,17,5119,106,550,2647,6774,141,6382,337,6774,39049008000
"188",0,84,748,514,118759,77,864,2002,4261,74,3123,1570,4261,39049008110
"189",0,260,418,574,294146,500,614,1742,4424,22,2463,1733,4424,39049008120
"190",0,147,832,822,536798,0,926,3137,6886,201,5297,2802,6886,39049008132
"191",0,464,586,387,59889,172,753,2884,7438,134,5966,1402,7438,39049008141
"192",0,479,1300,1264,262084,191,1928,4441,8660,387,5820,4362,8656,39049008142
"193",0,116,922,1232,115322,119,985,2964,7043,131,5245,2300,7043,39049008161
"194",0,320,983,774,331667,164,1462,3870,9483,110,7233,2235,9483,39049008162
"195",0,129,397,547,794980,278,612,1600,3602,79,1870,2189,3602,39049008163
"196",0,121,333,1304,267380,336,457,1886,5087,177,3233,3066,5087,39049008164
"197",0,8,372.3167485,193.4012102,147601,74,423.3167485,1111.485143,2273.089672,156.4107448,1822.846038,1351.621934,2275.186572,39049008210
"198",0,64,93,1824,81252,45,131,777,2684,93,442,2602,2602,39049008230
"199",0,0,272,484,157448,30,374,1166,2656,115,1759,1714,2656,39049008241
"200",0,454,660,172,501233,97,890,2855,6283,99,4768,2863,6283,39049008242
"201",0,54,612,1376,8597,8,805,1892,4117,213,2409,2495,4117,39049008311
"202",0,250,550,1142,187558,168,804,1889,4760,99,2151,3717,4760,39049008312
"203",0,141,302,395,233690,608,379,1242,3260,36,1764,1249,3260,39049008321
"204",0,149,752,589,96314,25,951,2259,4459,229,3095,2104,4459,39049008322
"205",0,0,243,39,2165,29,349,699,1479,72,1326,482,1479,39049008330
"206",20,64,322,761,54100,54,471,1853,5852,47,4463,2433,5435,39049008340
"207",0,182,997,3120,59044,53,1237,3075,7496,165,3712,4210,7407,39049008350
"208",0,24,610,532,141634,14,835,2540,6594,76,5437,1336,6211,39049008360
"209",0,107,716,147,7376,0,1096,3191,7959,84,7172,2026,7959,39049008370
"210",0,128,382,855,77625,31,499,1596,5608,22,4443,1103,4111,39049008380
"211",0,92.20753796,777.4729801,105.6472991,7636,0.463882542,855.0445616,1833.485709,3761.670991,88.1814059,3013.316336,466.0126068,3755.041831,39049008400
"212",0,49.86121105,888.2506225,52.74807481,75060,227.4616514,1321.297586,2568.411504,5295.675951,113.0871743,4892.400504,2579.542247,5297.279026,39049008500
"213",0,0,558,1393,0,0,596,1222,2162,122,532,863,2157,39049008710
"214",0,161,807,1756,24210,282,1112,1882,3338,206,811,1392,3333,39049008720
"215",0,5,332,1115,31544,39,356,1211,1878,497,511,1037,1481,39049008730
"216",0,0,251,141,27925,0,309,839,1785,80,1388,580,1785,39049008811
"217",0,0,515,1933,48370,68,554,1455,3001,119,838,874,2991,39049008812
"218",0,0,256,1896,51574,0,294,1026,2455,103,330,1001,2443,39049008813
"219",0,0,277,163,8225,0,352,1013,2311,28,2028,711,2311,39049008821
"220",0,0,805,1239,25985,74,876,1916,4395,82,2778,1630,4282,39049008822
"221",0,26,430,739,105794,150,506,2478,6537,92,5118,1494,6537,39049008825
