"","GEOID","blackpoverty_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latinopoverty_2021","lessthanhs_2021","over25population_2021","poverty_2021","white25andolder_2021","whitepoverty_2021","pctlessthanhs_2021","pcthsgrad_2021","pctfouryeardegree_2021","pctgraddegree_2021"
"132",39049006991,0,1046,1098,469,167,10,3058,31,2946,31,0.327011118378025,15.3368214519294,34.2053629823414,35.9058207979071
"133",39049006992,635,582,188,935,530,388,2864,1123,882,401,13.5474860335196,32.6466480446927,20.3212290502793,6.56424581005587
"134",39049007010,102,565,257,513,78,0,2064,422,1574,222,0,24.8546511627907,27.3740310077519,12.4515503875969
"135",39049007020,0,1436,873,1065,7,124,5030,248,4539,248,2.46520874751491,21.1729622266402,28.5487077534791,17.3558648111332
"136",39049007041,0,593,405,141,77,20,1563,92,1313,73,1.27959053103007,9.021113243762,37.9398592450416,25.9117082533589
"137",39049007043,655,1357,567,842,889,157,3852,1090,2479,63,4.07580477673936,21.858774662513,35.2284527518172,14.7196261682243
"138",39049007044,230,1126,1551,590,467,152,4564,641,2894,367,3.33041191936897,12.9272567922875,24.6713409290096,33.9833479404031
"139",39049007047,57,808,419,654,215,93,3237,336,2332,152,2.87303058387396,20.2038924930491,24.9613839975286,12.9440840284214
"140",39049007048,177,1559,759,664,556,173,4204,359,2909,182,4.1151284490961,15.7944814462417,37.0837297811608,18.0542340627973
"141",39049007101,1,340,397,537,35,112,2154,415,1784,369,5.19962859795729,24.9303621169916,15.7845868152275,18.430826369545
"142",39049007102,12,864,642,401,0,33,2344,168,2135,122,1.40784982935154,17.1075085324232,36.8600682593857,27.3890784982935
"143",39049007103,18,563,248,1022,438,56,2825,432,2350,414,1.98230088495575,36.1769911504425,19.929203539823,8.7787610619469
"144",39049007112,389,1156,336,1271,652,500,4715,720,2035,90,10.6044538706257,26.9565217391304,24.5174973488865,7.12619300106044
"145",39049007113,785,750,275,988,400,331,3462,1121,1517,143,9.56094742923166,28.5384170999422,21.6637781629116,7.94338532640092
"146",39049007114,392,778,280,1056,71,74,3458,845,2016,391,2.13996529786003,30.5378831694621,22.4985540775014,8.09716599190283
"147",39049007115,1155,711,545,1093,353,307,4054,1742,1975,482,7.57276763690183,26.9610261470153,17.5382338431179,13.4435125801677
"148",39049007120,10,853,418,827,230,163,3428,60,2843,50,4.75495915985998,24.1248541423571,24.8833138856476,12.193698949825
"149",39049007193,45,1580,1164,759,31,89,4579,390,4395,345,1.94365582004805,16.5756715440052,34.5053505132125,25.4203974666958
"150",39049007198,0,888,452,344,49,70,2178,74,1785,74,3.21395775941231,15.7943067033976,40.771349862259,20.752984389348
"151",39049007199,331,1169,761,1006,98,171,4463,458,2273,120,3.83150347300022,22.5408917768317,26.1931436253641,17.0513107775039
"152",39049007202,94,553,304,603,108,115,2332,397,1254,243,4.93138936535163,25.8576329331046,23.7135506003431,13.0360205831904
"153",39049007205,19,1820,994,454,54,238,5224,222,3706,197,4.55589586523737,8.6906584992343,34.8392036753446,19.0275650842266
"154",39049007209,0,2346,1643,555,208,183,6180,232,4434,124,2.96116504854369,8.98058252427185,37.9611650485437,26.5857605177994
"155",39049007211,0,1235,714,190,56,47,2682,52,2167,52,1.7524235645041,7.08426547352722,46.0477255779269,26.6219239373602
