GEOID,totalpopulation_1970,white_1970,black_1970,poverty_1970,pctpoverty_1970,pctwhite_1970,pctblack_1970
39049006392,711.1573,689.5849,1.218779,6.947038,54.80768108,96.96657828,0.171379665
39049006393,381.7267,370.1474,0.6542018,3.72895,54.80768623,96.9665994,0.171379628
39049006394,198.5521,192.5292,0.3402778,1.939584,54.80770943,96.96658963,0.171379603
39049006395,1054.672,1043.739,4.859118,18.22169,17.48251191,98.9633744,0.460723144
39049006396,1024.569,1013.948,4.72043,17.70161,17.48251907,98.96336899,0.460723485
39049006410,2859,2730,0,11,6.962025316,95.48793284,0
39049006430,5528,5389,0,63,15.94936709,97.48552822,0
39049006500,3907,3852,0,42,15.90909091,98.59227028,0
39049006600,5147.572,5009.935,6.324696,57.73589,10.15255234,97.3261763,0.122867558
39049006710,4066.315,3847.546,141.5018,61.44157,26.61289792,94.61996919,3.479853381
39049006721,2783.448,2723.907,7.695796,14.98655,36.63366433,97.86089052,0.276484274
39049006722,4088.552,4001.094,11.3042,22.01345,36.63366271,97.86090528,0.276484193
39049006810,3798.364,3737.623,10.95725,25.42154,19.23606718,98.40086416,0.288472879
39049006821,3342.382,3269.076,11.59905,101.6077,23.72698937,97.80677373,0.347029454
39049006822,2472.507,2418.582,8.470662,74.36119,23.70772188,97.81901527,0.342594055
39049006910,1864,1825,0,9,8.333333333,97.90772532,0
39049006921,3629,3600,0,39,9.677419355,99.20088179,0
39049006923,5286.034,5092.463,18.97745,55.84793,29.17846388,96.33806744,0.359011123
39049006924,4462.967,4299.537,16.02255,47.15208,29.17846594,96.3380863,0.359011169
39049006931,2546.431,2479.117,8.208997,29.55239,19.23077273,97.35653548,0.322372646
39049006932,3244.304,3158.542,10.45875,37.6515,19.23076923,97.35653626,0.322372688
39049006933,1964.265,1912.34,6.332252,22.79611,19.23076469,97.35651758,0.322372592
39049006942,388.5679,384.1467,1.808695,1.406763,18.18182171,98.86218084,0.465477205
39049006943,1674.082,1655.034,7.792468,6.060809,18.18181791,98.86218238,0.465477079
39049006944,2359.293,2332.448,10.98197,8.541532,18.1818205,98.86215913,0.465477158
39049006945,1828.855,1808.045,8.512899,6.621144,18.18181918,98.86212958,0.465476979
39049006950,2602,2484,0,0,0,95.4650269,0
39049006990,656.8169,578.8951,54.51179,9.363988,34.56790069,88.1364502,8.299389069
39049007010,3689.915,3645.807,7.463607,178.1857,44.1614038,98.80463371,0.202270432
39049007020,5530.968,5471.734,20.12126,69.48151,32.70590788,98.92904822,0.363792739
39049007041,145.689,128.4051,12.0913,2.077033,34.5678998,88.13644132,8.299391169
39049007043,232.2903,204.7325,19.27868,3.311675,34.56790368,88.13648267,8.299390891
39049007044,359.1469,316.5393,29.807,5.12022,34.56788957,88.13644222,8.29938947
39049007047,213.7903,188.4272,17.74328,3.047926,34.56789927,88.13645895,8.299384958
39049007048,313.0301,275.8936,25.97958,4.46275,34.56789645,88.13644439,8.299387184
39049007112,1008.376,976.0604,0,4.078684,17.33333277,96.79528271,0
39049007113,695.6149,673.3223,0,2.813626,17.33333087,96.79526704,0
39049007114,1045.576,1012.491,0.001479428,4.274865,17.76797656,96.83571543,0.000141494
39049007115,512.899,496.6641,0.006280404,2.058371,17.37219852,96.83467895,0.001224491
39049007120,4376.616,4332.667,2.99224,9.982063,22.21724329,98.99582234,0.068368804
39049007132,327.2151,260.3647,54.09604,11.43493,36.61970072,79.56989149,16.53225661
39049007193,679.4689,664.1902,0,3.605065,34.42621464,97.75137611,0
39049007194,765.2888,748.0804,0,4.0604,34.42621561,97.75138484,0
39049007198,260.6166,254.7564,0,1.382756,34.42622053,97.75140954,0
39049007199,265.1653,211.0267,43.80427,9.26026,36.6161028,79.58307516,16.51960871
39049007201,269.2703,263.3755,0.6574211,2.558412,31.57414595,97.81082429,0.244149132
39049007202,151.5473,120.586,25.0542,5.296009,36.61971432,79.56987686,16.53226418
39049007203,550.6628,538.6078,1.344439,5.232001,31.57415096,97.81081998,0.244149233
39049007205,85.78191,83.90399,0.2094358,0.8150378,31.57414,97.81082049,0.244149145
39049007207,469.2164,458.9444,1.145588,4.458156,31.57414778,97.81081821,0.244149181
39049007209,312.213,305.3781,0.7622654,2.966423,31.57414363,97.81082146,0.244149155
39049007210,2012.07,1968.022,4.91245,19.11723,31.57413598,97.81081175,0.24414906
39049007393,1432.427,1382.124,25.55053,13.97295,31.25000699,96.48826781,1.78372301
39049007394,424.1815,409.2855,7.566225,4.137779,31.25000661,96.48829569,1.783723477
39049007395,1254.796,1210.732,22.3821,12.24021,31.2500016,96.48835349,1.783724207
39049007396,476.5956,459.8589,8.501147,4.649065,31.2499958,96.48828063,1.78372335
39049007424,5469.61,5320.501,26.40702,45.59339,38.61483906,97.27386413,0.4827953
39049007425,3394.51,3302.06,16.31716,28.28362,38.60850269,97.27648468,0.480692648
39049007426,1031.66,1023.252,3.923789,7.55775,24.78041817,99.18500281,0.380337417
