GEOID,totalpopulation_1980,white_1980,black_1980,poverty_1980,pctpoverty_1980,pctblack_1980,pctwhite_1980
39049006371,2159.55379,2068.278337,36.09080836,98.75486397,4.690945979,1.671215995,95.77341148
39049006372,1334.00317,1277.669712,22.23833278,60.9363322,4.686235228,1.667037476,95.77711212
39049006383,2822.459499,2746.535097,14.86350718,45.79567078,1.622313932,0.526615428,97.30999146
39049006384,752.5998342,732.3548344,3.963306841,12.21126973,1.622313932,0.526615428,97.30999146
39049006386,1259.972095,1226.078738,6.635207448,20.44361214,1.622313932,0.526615428,97.30999146
39049006387,1169.114995,1137.665702,6.156739941,18.96941495,1.622313932,0.526615428,97.30999146
39049006391,4154.000048,4079.000047,6.000000069,67.00000077,1.586925628,0.144439095,98.19451131
39049006392,2752.000017,2631.000016,38.00000023,81.00000049,2.98562477,1.380813953,95.60319767
39049006393,672.2095839,654.1270887,3.53995938,10.90690187,1.622313932,0.526615428,97.30999146
39049006394,349.6444106,340.2389461,1.841281411,5.67313732,1.622313932,0.526615428,97.30999146
39049006395,1418.971511,1344.209039,40.41214699,84.86550868,5.985037406,2.847988608,94.73122108
39049006396,1378.471526,1305.842909,39.25871203,82.44329527,5.985037406,2.847988608,94.73122108
39049006410,2724.999985,2668.999986,11.99999994,46.99999975,1.732399558,0.440366972,97.94495413
39049006430,4468.99995,4421.999951,7.999999911,80.9999991,1.821452665,0.179010964,98.94831058
39049006500,3463.999997,3454.999997,1.999999998,66.99999995,1.934180139,0.057736721,99.74018476
39049006600,4287.110627,4248.582446,13.35964071,111.2106891,2.688135367,0.311623419,99.10130192
39049006710,2554.480005,2405.530734,125.6759478,92.16236171,3.771428571,4.919825073,94.16909621
39049006721,4258.999991,4131.999991,27.99999994,38.99999992,0.92395167,0.657431322,97.01807936
39049006722,3406.000044,3288.000043,68.00000088,180.0000023,5.672864797,1.996476806,96.53552554
39049006810,2876.97189,2819.43729,20.63248974,60.20705606,2.098719851,0.717159935,98.00016816
39049006821,3536.969367,3359.539161,72.71729785,384.9168966,11.12356402,2.055921053,94.98355263
39049006822,2227.57876,2200.492831,9.974269271,60.71369642,2.577883872,0.447762811,98.78406416
39049006910,1680.000015,1656.000015,9.000000083,30.00000028,1.767825575,0.535714286,98.57142857
39049006921,3765.000037,3587.000035,126.0000012,221.0000022,5.883919063,3.346613546,95.27224436
39049006923,3834.060645,3765.160996,48.7881551,149.6954996,3.915747485,1.272493046,98.2029588
39049006924,4325.939127,4122.838787,145.2118373,88.30449567,2.044989775,3.356770243,95.30505784
39049006931,5910.000031,5253.000028,500.0000026,372.000002,6.57708628,8.460236887,88.88324873
39049006932,5563.00002,5228.000019,244.0000009,56.0000002,1.007737988,4.386122596,93.97806939
39049006933,4271.000017,3527.000014,658.0000026,423.0000017,9.934241428,15.40622805,82.58019199
39049006942,1201.000002,1128.000002,46.00000009,67.00000012,5.532617671,3.830141549,93.92173189
