"","GEOID","totalpopulation_1970","white_1970","black_1970","poverty_1970","pctpoverty_1970","pctwhite_1970","pctblack_1970","totalpopulation_1980","white_1980","black_1980","poverty_1980","pctpoverty_1980","pctblack_1980","pctwhite_1980","totalpopulation_1990","white_1990","black_1990","poverty_1990","pctpoverty_1990","pctwhite_1990","pctblack_1990"
"32",39049001902,4772.481,4547.382,111.8793,247.1461,20.09027149,95.28339662,2.344258678,3921.569833,3744.268756,121.0633614,412.9133176,10.55229049,3.087114766,95.47882392,3733.504582,3481.485761,144.7636582,464.2764511,12.57245909,93.2498055,3.877420131
"33",39049002000,5596.686,4750.49,662.7285,307.0267,44.56521487,84.88040959,11.8414451,3622.540982,3221.908542,354.7656414,1062.42481,29.78220939,9.793281654,88.94056848,3228.545181,2731.104359,415.4980511,601.5563431,18.727491,84.59241565,12.86951329
"34",39049002100,2310.886,2227.584,0,210.7042,38.39285291,96.39523542,0,1671.91339,1574.891452,87.22174191,514.5102753,30.25936599,5.216881594,94.19695193,1558.000004,1408.000004,110.0000003,316.0000009,21.4673913,90.37227214,7.060333761
"35",39049002200,3286.279,2425.758,773.6523,407.6708,58.00732763,73.81473089,23.54189343,2435.441279,1966.247076,441.3875079,1055.525062,45.13150274,18.12351264,80.73473553,1923.000002,1368.000001,493.0000005,747.0000008,38.56479091,71.13884555,25.63702548
"36",39049002300,3719.937,344.5856,3149.731,162.6832,40.32088528,9.26321064,84.67162213,2159.839452,231.7056403,1914.877756,662.6037957,29.93756532,88.65833773,10.72791036,2272.672683,221.7952181,2026.819265,1072.775417,45.94954645,9.759224005,89.18218974
"37",39049002510,5343,1385,3825,163,35.43478261,25.9217668,71.58899495,4026.999988,589.9999982,3398.99999,643.999998,16.32860041,84.40526446,14.65110504,3436.999989,522.9999984,2870.999991,511.9999984,15.08989095,15.2167588,83.53215013
"38",39049002520,4702,602,3827,95,13.64942529,12.80306253,81.39089749,4010.999986,492.9999983,3471.999988,1087.999996,30.1134791,86.56195462,12.2911992,3411.999988,360.9999988,2982.99999,1039.999996,33.71150729,10.58030481,87.42672919
"39",39049002600,5947.243,4109.516,1639.324,101.7363,20.71109597,69.09951384,27.56443616,5290.622878,2999.545719,2243.14643,1259.847799,25.36720991,42.39853192,56.69551182,4801.073472,2246.994282,2478.836534,1411.478699,30.37701288,46.80191409,51.63088106
"40",39049002710,2954,2845,26,166,23.68045649,96.31008802,0.880162492,4810.000068,2399.000034,2234.000032,1878.000027,39.50357594,46.44490644,49.87525988,4254.000061,1948.000028,2146.000031,1480.000021,35.03787879,45.79219558,50.44663846
"41",39049002730,2653,2546,11,41,11.5819209,95.96683,0.414624953,2132.000012,1980.000011,108.0000006,252.0000014,12.09793567,5.065666041,92.87054409,2156.000012,1604.000009,499.0000028,296.0000017,13.8901924,74.39703154,23.14471243
"42",39049002740,3846,3623,79,114,26.02739726,94.20176807,2.054082163,2453.999994,2350.999994,75.99999981,44.99999989,1.743510267,3.096984515,95.80277099,2352.999994,2086.999995,227.9999994,142.9999996,5.906650145,88.69528262,9.689757756
"43",39049002750,2924,2820,0,23,14.02439024,96.44322845,0,2511.999995,2203.999996,248.9999995,259.9999995,10.76604555,9.912420382,87.7388535,2605.999995,1779.999997,747.9999985,585.9999989,23.19873317,68.30391404,28.70299309
"44",39049002760,4173,3954,6,127,18.59443631,94.75197699,0.143781452,3447.00001,3236.000009,144.0000004,212.0000006,6.150275602,4.177545692,93.87873513,3297.000009,2771.000008,444.0000013,297.0000008,9.057639524,84.04610252,13.46678799
"45",39049002770,2550.407,2295.215,85.13491,60.71954,19.60947398,89.99406761,3.338091136,2199.120087,2032.677347,136.7231999,133.4415195,6.204712554,6.217177533,92.43139378,2022.524829,1566.187197,395.7530057,292.2379277,14.37282701,77.43722969,19.56727552
"46",39049002780,2935,2908,0,43,25.90361446,99.08006814,0,2610.00001,2292.000009,313.0000012,97.00000036,3.863002788,11.99233716,87.81609195,2433.000009,1890.000007,527.000002,81.0000003,3.606411398,77.68187423,21.66050144
"47",39049002800,5219.024,380.9274,4623.022,632.9274,54.15968414,7.298824455,88.58020197,3989.57048,203.7050048,3744.82841,1245.707292,32.50789609,93.86545316,5.10593824,3217.706806,205.6429162,2972.05192,1681.433256,52.68221574,6.390977444,92.36552921
"48",39049002900,2700.039,55.48704,2461.247,282.3894,63.61607429,2.055045872,91.1559796,2748.590109,152.5893571,2564.293872,1331.688935,48.66039102,93.29488104,5.551550108,2961.620705,155.5618771,2582.128992,2077.791441,70.27479893,5.25259284,87.18634995
"49",39049003000,6687.025,3608.615,2767.448,955.741,48.89936383,53.96443112,41.38533952,3688.503113,1907.887331,1706.621769,879.8204074,42.18588909,46.2686818,51.72524661,1632.761098,761.888977,815.8792525,726.8965944,47.64129005,46.66261206,49.96929762
"50",39049003200,2376.74,2228.234,32.29946,171.6858,14.07310258,93.7516935,1.35898163,2088.095192,1842.358668,210.7757163,377.7354056,20.5296655,10.09416224,88.23154595,1942.943589,1648.469313,197.5923557,396.5878417,23.85841301,84.84391013,10.16974228
"51",39049003600,3774.975,355.3853,3173.552,476.259,46.44190995,9.414242478,84.06815939,2547.4968,190.1126365,2336.378178,1094.179566,42.55156815,91.71270315,7.462723271,2009.238915,134.1110282,1846.120755,760.103411,36.94790911,6.674717836,91.88159463
"52",39049003700,7607,1286,6005,526,43.00899428,16.90548179,78.94044959,5171.000003,703.0000003,4416.000002,1860.000001,36.55660377,85.39934249,13.59504931,4522.000002,593.0000003,3823.000002,1855.000001,42.1686747,13.11366652,84.54223795
"53",39049003800,5055.534,1303.312,3585.801,381.2212,36.11365886,25.77990772,70.92823429,2785.999993,689.9999982,2056.999994,935.9999975,36.40606768,73.83345298,24.7666906,2631.999993,784.9999979,1790.999995,983.9999974,39.9026764,29.82522796,68.04711246
"54",39049004000,4054.806,3365.898,443.1042,909.5724,42.6228866,83.01008729,10.9278767,3087.000015,2349.000011,685.0000032,817.0000038,34.18410042,22.18982831,76.09329446,2709.000013,1764.000008,856.000004,524.0000025,26.61249365,65.11627907,31.59837578
"55",39049004200,3284.536,2794.221,365.3961,292.0025,51.7826375,85.07201626,11.1247403,2861.27793,2482.416309,360.9914863,1002.298986,37.08249576,12.61644255,86.75900661,2606.61047,1968.409309,536.7316472,1274.987405,51.51024771,75.51605168,20.59117208
"56",39049004300,5449.214,4552.962,713.1619,235.3387,41.21579021,83.55263713,13.08742692,3815.130872,3342.515537,449.3954539,1007.754492,28.15056926,11.77929327,87.61208067,4458.287528,3823.57635,413.2752155,1338.934957,32.13260832,85.76334134,9.269819698
"57",39049004500,8736.452,8077.093,441.9624,283.011,37.9628046,92.45278289,5.058831663,6338.487246,6038.339777,243.3590433,461.225268,8.170662672,3.83938681,95.26468293,6370.449906,5699.052908,510.250141,1088.000009,19.49196059,89.46076011,8.009640583
"58",39049004610,4563,4488,0,80,23.59882006,98.35634451,0,4004.999986,3948.999986,43.99999984,270.999999,6.786877035,1.098626717,98.60174782,3726.999987,3613.999987,77.99999972,160.9999994,4.326793873,96.96807083,2.092836061
"59",39049004620,3361,2986,211,113,38.17567568,88.84260637,6.277893484,3195.000024,2925.000022,245.0000018,400.000003,12.63024945,7.668231612,91.54929577,3109.000023,2697.00002,321.0000024,528.0000039,17.44301288,86.74815053,10.3248633
"60",39049004700,7267,3776,3170,267,35.83892617,51.96091922,43.62185221,6294.999955,3557.999974,2635.999981,1031.999993,16.5093585,41.87450357,56.52104845,6054.999956,3444.999975,2401.999983,1849.999987,31.00385453,56.89512799,39.66969447
"61",39049004810,3427.508,3395.247,0,65.50001,24.63235186,99.05876223,0,2957.276363,2921.104718,25.41791254,168.1492676,5.685950413,0.859504132,98.7768595,2900.574866,2756.865899,75.27612561,195.5224042,6.816632584,95.04550051,2.595214021
"62",39049004820,3428,2889,485,63,32.14285714,84.27654609,14.14819137,3161.000007,2712.000006,432.000001,569.0000013,18.13834874,13.66656121,85.79563429,2992.000007,2453.000006,459.0000011,451.0000011,15.13422819,81.98529412,15.34090909
"63",39049004900,8254.505,6926.611,1139.422,304.5234,36.12138129,83.91309957,13.80363813,6835.229268,5608.09949,1171.373683,966.3474991,15.2707685,17.13729909,82.04698438,6910.261554,5312.784006,1401.221417,1372.323195,21.18292591,76.88253136,20.27740059
"64",39049005000,6570.761,5851.949,529.046,406.3834,49.1630924,89.06044521,8.051517929,5755.631874,5255.628191,469.011874,1434.939685,28.93440966,8.148746901,91.31279252,4805.301612,4173.39195,518.257613,1899.049119,39.91967869,86.84973988,10.78512141
"65",39049005100,5211.878,3881.194,1134.314,160.3338,29.86386402,74.4682435,21.76401673,4381.456256,2948.708132,1389.075865,1718.378403,42.38629354,31.7035201,67.29972776,4580.734718,2836.88362,1579.326545,2712.286911,60.4646286,61.93075553,34.47758148
"66",39049005200,3545.967,3176.913,206.5263,290.0347,34.28874383,89.59228893,5.82425894,2639.047618,2456.408181,145.7425808,533.1595676,20.31634446,5.522544565,93.07934289,2424.123432,2210.121668,166.0358515,272.1143122,11.48306734,91.17199391,6.849315068
"67",39049005300,7734.834,1662.276,5840.598,565.7261,50.92410795,21.49077795,75.51032123,5197.772102,1135.541559,4005.799322,2243.766298,45.11637458,77.06762134,21.84669771,4493.571519,747.1075427,3627.944187,2361.783436,54.36558735,16.62614113,80.73631791
"68",39049005410,3760.676,477.779,3084.906,166.1396,44.17608896,12.70460417,82.03062428,2752.440857,295.4898653,2420.141661,987.4485608,36.54873473,87.92710858,10.7355573,2232.846896,149.3183747,2040.745371,836.4323498,38.29527649,6.687353932,91.39656528
"69",39049005420,4452.933,485.6303,3814.676,120.912,41.49658416,10.90585239,85.66659323,3470.770093,225.9667565,3218.044115,1024.779062,29.71264368,92.7184466,6.510565391,2937.567834,158.5731624,2745.297875,1024.779062,34.87352445,5.398110661,93.45479082
"70",39049005500,7770.231,3740.27,3730.419,173.0067,27.70777343,48.13589197,48.00911324,6702.405488,1602.297569,5012.508176,1714.818074,25.83566844,74.78670435,23.90630605,6055.078773,712.1649161,5233.514887,2211.832785,36.7675815,11.76144758,86.43182167
"71",39049005610,3666,2732,798,106,36.93379791,74.52264048,21.76759411,3072.000019,2103.000013,927.0000059,1130.000007,36.87989556,30.17578125,68.45703125,2864.000018,1558.00001,1227.000008,1043.000007,36.59649123,54.39944134,42.84217877
"72",39049005620,3693,3240,182,141,35.69620253,87.73354996,4.928242621,3272.999995,2972.999995,273.9999996,539.9999992,16.66666667,8.371524595,90.83409716,3152.999995,2528.999996,570.9999991,924.9999986,29.83870968,80.20932445,18.10973676
"73",39049005700,5787.297,5591.145,17.36953,303.3755,26.28498377,96.6106457,0.300131996,4239.187158,4147.243896,56.60742364,526.9866099,12.47912292,1.335336741,97.83111104,3740.720941,3577.259234,91.53338582,446.6664759,12.01752101,95.63020846,2.446945048
"74",39049005810,4424.577,4285.315,1.770419,168.9664,32.15953693,96.85253528,0.040013294,3551.023637,3483.393307,25.41449846,394.1686985,11.10416921,0.715694996,98.09546946,3080.332357,2921.611196,84.5976343,464.0346824,15.18855942,94.84727157,2.746380082
"75",39049005820,2752.876,2581.557,32.35218,90.43904,36.82635238,93.77672659,1.175213849,2416.854708,2376.414486,13.97025843,480.8710006,20.0921659,0.578034682,98.32674171,2287.445998,2210.977215,21.32302602,544.8400787,23.9186572,96.65702347,0.932176149
"76",39049005900,3693,3601,18,95,33.80782918,97.50880043,0.487408611,3338.000008,2669.000007,606.0000015,743.0000019,22.29891957,18.15458358,79.95805872,3227.000008,1726.000004,1425.000004,740.0000019,23.13222882,53.4862101,44.1586613
"77",39049006000,3631,2652,917,127,51.20967742,73.03773065,25.25475076,3115.000015,2129.00001,940.0000045,1068.000005,34.49612403,30.17656501,68.34670947,2966.000014,1935.000009,946.0000045,1101.000005,37.42352141,65.23937964,31.89480782
"78",39049006100,5047.321,4240.685,552.4012,184.1338,44.77273921,84.01853181,10.9444436,3957.47365,3597.618346,280.40673,1182.381712,30.0903901,7.085498347,90.90694379,3637.999982,3195.999985,333.9999984,1462.999993,40.35862069,87.85046729,9.180868609
"79",39049006220,475.2388,462.076,0,4.591679,36.14456475,97.23027665,0,640.3861665,635.4883755,1.683615638,25.40729054,3.977953511,0.26290631,99.23518164,5178.000042,4880.000039,53.00000043,24.00000019,0.460741025,94.24488219,1.023561221
"80",39049006230,1546.626,1503.788,0,14.94324,36.14456433,97.2302289,0,2084.084377,2068.144917,5.479189327,82.68594802,3.977953511,0.26290631,99.23518164,1524.000006,1496.000006,8.00000003,39.00000014,2.462121212,98.16272966,0.524934383
"81",39049006236,394.2944,383.3735,0,3.809608,36.14459706,97.23026754,0,531.31328,527.2496985,1.396856138,21.07982899,3.977953511,0.26290631,99.23518164,3212.205745,2937.726696,26.57423157,33.12678182,1.036564529,91.45512239,0.827289211
"82",39049006310,5975,5809,25,14,27.45098039,97.22175732,0.418410042,5126.999935,4972.999937,12.99999983,53.99999931,1.053247513,0.253559587,96.99629413,4511.999943,4328.999945,6.999999911,20.99999973,0.465425532,95.94414894,0.155141844
